MHC,Identity,WB,"NA",SB,total,SB_pct,WB_pct,Binder_pct
HLA-DPA10103-DPB110501,csp-10,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-11,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-111,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-117,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-12,3,92,1,96,0.010416666666666666,0.03125,0.041666666666666664
HLA-DPA10103-DPB110501,csp-15,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-16,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-18,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-19,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-22,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB110501,csp-27,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-31,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-32,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-35,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-36,3,92,1,96,0.010416666666666666,0.03125,0.041666666666666664
HLA-DPA10103-DPB110501,csp-39,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-4,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-46,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-47,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-53,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-55,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-68,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-7,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-8,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-94,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp-99,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB110501,csp_reference,0,96,0,96,0,0,0
HLA-DPA10103-DPB11101,csp-1,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-10,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-11,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-111,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-117,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-12,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-15,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-16,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-18,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-19,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-22,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-27,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-31,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-32,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-35,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB11101,csp-36,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-39,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB11101,csp-4,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-46,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-47,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-53,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-55,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-68,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-7,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-8,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-94,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp-99,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11101,csp_reference,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB11301,csp-1,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-10,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-11,0,96,0,96,0,0,0
HLA-DPA10103-DPB11301,csp-111,0,96,0,96,0,0,0
