Record ID, Country, Match
MT009267.1, SENEGAL: THIES, 1
MT009266.1, SENEGAL: THIES, 1
MT009265.1, SENEGAL: THIES, 1
MT009264.1, SENEGAL: THIES, 1
MT009263.1, SENEGAL: THIES, 1
MT009262.1, SENEGAL: THIES, 1
MT009261.1, SENEGAL: THIES, 1
MT009260.1, SENEGAL: THIES, 1
MT009259.1, SENEGAL: THIES, 1
MT009258.1, SENEGAL: THIES, 1
MT009257.1, SENEGAL: THIES, 1
MT009256.1, SENEGAL: THIES, 1
MT009255.1, SENEGAL: THIES, 1
MT009254.1, SENEGAL: THIES, 1
MT009253.1, SENEGAL: THIES, 1
MT009252.1, SENEGAL: THIES, 1
MT009251.1, SENEGAL: THIES, 1
MT009250.1, SENEGAL: THIES, 1
MT009249.1, SENEGAL: THIES, 1
MT009248.1, SENEGAL: THIES, 1
MT009247.1, SENEGAL: THIES, 1
MT009246.1, SENEGAL: THIES, 1
MT009245.1, SENEGAL: THIES, 1
MT009244.1, SENEGAL: THIES, 1
MT009243.1, SENEGAL: THIES, 1
MT009242.1, SENEGAL: THIES, 1
MT009241.1, SENEGAL: THIES, 1
MT009240.1, SENEGAL: THIES, 1
MT009239.1, SENEGAL: THIES, 1
MT886967.1, KENYA, 1
MT886966.1, KENYA, 1
MT886965.1, KENYA, 1
MT886964.1, KENYA, 1
MT886963.1, KENYA, 1
MT886962.1, KENYA, 1
MT886961.1, KENYA, 1
MT886960.1, KENYA, 1
MT886959.1, KENYA, 1
MT886958.1, KENYA, 1
MT886957.1, KENYA, 1
MT886956.1, KENYA, 1
MT886955.1, KENYA, 1
MT886954.1, KENYA, 1
MT886953.1, KENYA, 1
MT886952.1, KENYA, 1
MT886951.1, KENYA, 1
MT886950.1, KENYA, 1
MT886949.1, KENYA, 1
MT886948.1, KENYA, 1
MT886947.1, KENYA, 1
MT886946.1, KENYA, 1
MT886945.1, KENYA, 1
MT886944.1, KENYA, 1
MT886943.1, KENYA, 1
MT886942.1, KENYA, 1
MT886941.1, KENYA, 1
MT886940.1, KENYA, 1
MT886939.1, KENYA, 1
MT886938.1, KENYA, 1
MT886937.1, KENYA, 1
MT886936.1, KENYA, 1
MT886935.1, KENYA, 1
MT886934.1, KENYA, 1
MT886933.1, KENYA, 1
MT886932.1, KENYA, 1
MT886931.1, KENYA, 1
MT886930.1, KENYA, 1
MT886929.1, KENYA, 1
MT886928.1, KENYA, 1
MT886927.1, KENYA, 1
MT886926.1, KENYA, 1
