SampleID	SampleName	MarkerID	BarcodePair	ReadNumbers	FileR1	FileR2
cc020-1_S27	cc020-1_S27	msp1		0	data/cc020-1_S27_L001_R1_001.fastq.gz	data/cc020-1_S27_L001_R2_001.fastq.gz
cc020-2_S27	cc020-2_S27	csp		0	data/cc020-2_S27_L001_R1_001.fastq.gz	data/cc020-2_S27_L001_R2_001.fastq.gz
cc021-1_S28	cc021-1_S28	msp1		0	data/cc021-1_S28_L001_R1_001.fastq.gz	data/cc021-1_S28_L001_R2_001.fastq.gz
cc021-2_S28	cc021-2_S28	csp		0	data/cc021-2_S28_L001_R1_001.fastq.gz	data/cc021-2_S28_L001_R2_001.fastq.gz
cc022-1_S29	cc022-1_S29	msp1		0	data/cc022-1_S29_L001_R1_001.fastq.gz	data/cc022-1_S29_L001_R2_001.fastq.gz
cc022-2_S1	cc022-2_S1	csp		0	data/cc022-2_S1_L001_R1_001.fastq.gz	data/cc022-2_S1_L001_R2_001.fastq.gz
cco15-1_S23	cco15-1_S23	msp1		0	data/cco15-1_S23_L001_R1_001.fastq.gz	data/cco15-1_S23_L001_R2_001.fastq.gz
kg073-1_S20	kg073-1_S20	msp1		0	data/kg073-1_S20_L001_R1_001.fastq.gz	data/kg073-1_S20_L001_R2_001.fastq.gz
pz049-2_S20	pz049-2_S20	csp		0	data/pz049-2_S20_L001_R1_001.fastq.gz	data/pz049-2_S20_L001_R2_001.fastq.gz
sk052-1_S1	sk052-1_S1	msp1		0	data/sk052-1_S1_L001_R1_001.fastq.gz	data/sk052-1_S1_L001_R2_001.fastq.gz
sk052-2_S2	sk052-2_S2	csp		0	data/sk052-2_S2_L001_R1_001.fastq.gz	data/sk052-2_S2_L001_R2_001.fastq.gz
sk053-1_S3	sk053-1_S3	msp1		0	data/sk053-1_S3_L001_R1_001.fastq.gz	data/sk053-1_S3_L001_R2_001.fastq.gz
sk053-2_S4	sk053-2_S4	csp		0	data/sk053-2_S4_L001_R1_001.fastq.gz	data/sk053-2_S4_L001_R2_001.fastq.gz
sk057-1_S5	sk057-1_S5	msp1		0	data/sk057-1_S5_L001_R1_001.fastq.gz	data/sk057-1_S5_L001_R2_001.fastq.gz
sk057-2_S6	sk057-2_S6	csp		0	data/sk057-2_S6_L001_R1_001.fastq.gz	data/sk057-2_S6_L001_R2_001.fastq.gz
sk085-1_S7	sk085-1_S7	msp1		0	data/sk085-1_S7_L001_R1_001.fastq.gz	data/sk085-1_S7_L001_R2_001.fastq.gz
sk085-2_S8	sk085-2_S8	csp		0	data/sk085-2_S8_L001_R1_001.fastq.gz	data/sk085-2_S8_L001_R2_001.fastq.gz
sk088-1_S9	sk088-1_S9	msp1		0	data/sk088-1_S9_L001_R1_001.fastq.gz	data/sk088-1_S9_L001_R2_001.fastq.gz
sk088-2_S10	sk088-2_S10	csp		0	data/sk088-2_S10_L001_R1_001.fastq.gz	data/sk088-2_S10_L001_R2_001.fastq.gz
sk090-1_S11	sk090-1_S11	msp1		0	data/sk090-1_S11_L001_R1_001.fastq.gz	data/sk090-1_S11_L001_R2_001.fastq.gz
sk090-2_S12	sk090-2_S12	csp		0	data/sk090-2_S12_L001_R1_001.fastq.gz	data/sk090-2_S12_L001_R2_001.fastq.gz
sk094-1_S13	sk094-1_S13	msp1		0	data/sk094-1_S13_L001_R1_001.fastq.gz	data/sk094-1_S13_L001_R2_001.fastq.gz
sk094-2_S14	sk094-2_S14	csp		0	data/sk094-2_S14_L001_R1_001.fastq.gz	data/sk094-2_S14_L001_R2_001.fastq.gz
sk096-1_S15	sk096-1_S15	msp1		0	data/sk096-1_S15_L001_R1_001.fastq.gz	data/sk096-1_S15_L001_R2_001.fastq.gz
sk096-2_S16	sk096-2_S16	csp		0	data/sk096-2_S16_L001_R1_001.fastq.gz	data/sk096-2_S16_L001_R2_001.fastq.gz
sk097-1_S17	sk097-1_S17	msp1		0	data/sk097-1_S17_L001_R1_001.fastq.gz	data/sk097-1_S17_L001_R2_001.fastq.gz
sk097-2_S18	sk097-2_S18	csp		0	data/sk097-2_S18_L001_R1_001.fastq.gz	data/sk097-2_S18_L001_R2_001.fastq.gz
sk101-1_S19	sk101-1_S19	msp1		0	data/sk101-1_S19_L001_R1_001.fastq.gz	data/sk101-1_S19_L001_R2_001.fastq.gz
sk101-2_S20	sk101-2_S20	csp		0	data/sk101-2_S20_L001_R1_001.fastq.gz	data/sk101-2_S20_L001_R2_001.fastq.gz
sk107-1_S21	sk107-1_S21	msp1		0	data/sk107-1_S21_L001_R1_001.fastq.gz	data/sk107-1_S21_L001_R2_001.fastq.gz
sk107-2_S22	sk107-2_S22	csp		0	data/sk107-2_S22_L001_R1_001.fastq.gz	data/sk107-2_S22_L001_R2_001.fastq.gz
